GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder Score,Country/Area,Regional indicator,Year
0.806,1.231,0.639,0.461,0.065,0.082,6.167,El Salvador,Latin America and Caribbean,2017
0.668,1.319,0.7,0.527,0.208,0.128,6.141,Nicaragua,Latin America and Caribbean,2017
1.176,1.448,0.781,0.546,0.108,0.064,6.123,Poland,Central and Eastern Europe,2017
1.338,1.366,0.698,0.594,0.243,0.123,6.105,Bahrain,Middle East and North Africa,2017
0.719,1.584,0.605,0.724,0.328,0.259,6.096,Uzbekistan,Commonwealth of Independent States,2017
1.474,1.301,0.675,0.554,0.167,0.106,6.083,Kuwait,Middle East and North Africa,2017
1.016,1.417,0.707,0.637,0.364,0.029,6.072,Thailand,Southeast Asia,2017
1.264,1.501,0.946,0.281,0.137,0.028,6.0,Italy,Western Europe,2017
0.889,1.33,0.736,0.556,0.114,0.12,5.973,Ecuador,Latin America and Caribbean,2017
1.197,1.527,0.716,0.35,0.026,0.006,5.952,Lithuania,Central and Eastern Europe,2017
1.219,1.506,0.856,0.633,0.16,0.051,5.948,Slovenia,Central and Eastern Europe,2017
1.116,1.219,0.726,0.528,0.088,0.001,5.945,Romania,Central and Eastern Europe,2017
1.148,1.454,0.671,0.363,0.092,0.066,5.933,Latvia,Central and Eastern Europe,2017
1.294,1.462,0.988,0.553,0.079,0.15,5.915,Japan,East Asia,2017
1.09,1.387,0.684,0.584,0.245,0.05,5.891,Mauritius,Sub-Saharan Africa,2017
0.819,1.493,0.693,0.575,0.096,0.031,5.89,Jamaica,Latin America and Caribbean,2017
1.266,1.204,0.955,0.244,0.175,0.051,5.875,South Korea,East Asia,2017
1.151,1.479,0.599,0.399,0.065,0.025,5.81,Russia,Commonwealth of Independent States,2017
1.143,1.516,0.631,0.454,0.148,0.121,5.79,Kazakhstan,Commonwealth of Independent States,2017
1.229,1.191,0.909,0.423,0.202,0.035,5.762,Cyprus,Western Europe,2017
0.751,1.223,0.508,0.606,0.141,0.054,5.752,Bolivia,Latin America and Caribbean,2017
1.2,1.532,0.737,0.553,0.086,0.174,5.739,Estonia,Central and Eastern Europe,2017
0.835,1.522,0.615,0.541,0.162,0.074,5.681,Paraguay,Latin America and Caribbean,2017
0.934,1.249,0.674,0.53,0.092,0.034,5.663,Peru,Latin America and Caribbean,2017
0.855,1.23,0.578,0.448,0.274,0.023,5.662,Kosovo,Central and Eastern Europe,2017
0.657,1.301,0.62,0.232,0.171,,5.64,Moldova,Commonwealth of Independent States,2017
1.016,1.533,0.517,0.417,0.199,0.037,5.636,Turkmenistan,Commonwealth of Independent States,2017
1.171,1.401,0.732,0.259,0.061,0.022,5.62,Hungary,Central and Eastern Europe,2017
0.985,1.35,0.553,0.496,0.116,0.148,5.566,Libya,Middle East and North Africa,2017
0.775,1.312,0.513,0.643,0.12,0.105,5.524,Philippines,Southeast Asia,2017
0.62,1.205,0.622,0.459,0.197,0.074,5.504,Honduras,Latin America and Caribbean,2017
1.039,1.498,0.7,0.307,0.101,0.154,5.483,Belarus,Commonwealth of Independent States,2017
1.148,1.38,0.686,0.324,0.106,0.109,5.483,Turkey,Middle East and North Africa,2017
0.652,0.81,0.424,0.334,0.216,0.113,5.472,Pakistan,South Asia,2017
1.188,1.429,0.884,0.562,0.055,0.017,5.41,Portugal,Western Europe,2017
0.975,1.369,0.685,0.288,0.134,0.043,5.398,Serbia,Central and Eastern Europe,2017
1.154,1.202,0.879,0.131,,0.044,5.358,Greece,Western Europe,2017
0.965,1.179,0.785,0.503,0.214,0.136,5.358,Lebanon,Middle East and North Africa,2017
1.017,1.279,0.729,0.259,0.111,0.081,5.347,Montenegro,Central and Eastern Europe,2017
1.115,1.161,0.737,0.38,0.12,0.039,5.321,Croatia,Central and Eastern Europe,2017
0.982,1.441,0.614,0.578,0.12,0.106,5.302,Dominican Republic,Latin America and Caribbean,2017
0.979,1.154,0.687,0.077,0.055,0.135,5.295,Algeria,Middle East and North Africa,2017
0.779,0.797,0.669,0.46,0.026,0.074,5.254,Morocco,Middle East and North Africa,2017
0.989,1.142,0.799,0.597,0.029,0.103,5.246,China,East Asia,2017
1.024,1.161,0.603,0.43,0.031,0.176,5.201,Azerbaijan,Commonwealth of Independent States,2017
0.474,1.166,0.598,0.292,0.187,0.034,5.199,Tajikistan,Commonwealth of Independent States,2017
0.822,1.265,0.645,0.468,0.13,0.134,5.161,Jordan,Middle East and North Africa,2017
0.689,1.172,0.048,0.462,0.201,0.032,5.155,Nigeria,Sub-Saharan Africa,2017
0.53,1.416,0.594,0.54,0.281,0.035,5.131,Kyrgyzstan,Commonwealth of Independent States,2017
0.915,1.078,0.758,0.28,0.216,,5.129,Bosnia and Herzegovina,Central and Eastern Europe,2017
0.914,1.517,0.575,0.395,0.253,0.032,5.125,Mongolia,East Asia,2017
0.715,1.365,0.702,0.618,0.177,0.079,5.103,Vietnam,Southeast Asia,2017
0.899,1.215,0.522,0.538,0.484,0.018,5.093,Indonesia,Southeast Asia,2017
0.535,0.891,0.182,0.454,0.183,0.043,4.975,Cameroon,Sub-Saharan Africa,2017
1.054,1.515,0.712,0.359,0.064,0.009,4.933,Bulgaria,Central and Eastern Europe,2017
0.425,1.228,0.539,0.526,0.302,0.078,4.88,Nepal,South Asia,2017
0.996,1.469,0.657,0.133,0.056,0.052,4.806,Venezuela,Latin America and Caribbean,2017
1.036,1.164,0.404,0.356,0.032,0.052,4.758,Gabon,Sub-Saharan Africa,2017
0.642,1.217,0.602,0.266,0.086,0.076,4.743,Palestinian Territories,Middle East and North Africa,2017
0.94,1.41,0.33,0.516,0.103,0.056,4.724,South Africa,Sub-Saharan Africa,2017
1.059,0.771,0.691,0.459,0.282,0.129,4.707,Iran,Middle East and North Africa,2017
0.541,0.872,0.08,0.467,0.146,0.103,4.671,Ivory Coast,Sub-Saharan Africa,2017
0.592,0.896,0.337,0.499,0.212,0.029,4.657,Ghana,Sub-Saharan Africa,2017
0.429,1.117,0.433,0.406,0.138,0.082,4.631,Senegal,Sub-Saharan Africa,2017
0.72,1.034,0.441,0.626,0.23,0.174,4.623,Laos,Southeast Asia,2017
0.9,0.906,0.69,0.271,0.04,0.063,4.592,Tunisia,Middle East and North Africa,2017
0.916,0.817,0.79,0.419,0.149,0.032,4.586,Albania,Central and Eastern Europe,2017
0.256,0.813,,0.355,0.238,0.053,4.571,Sierra Leone,Sub-Saharan Africa,2017
0.682,0.811,0.343,0.514,0.091,0.077,4.559,Congo (Brazzaville),Sub-Saharan Africa,2017
0.532,0.85,0.579,0.58,0.153,0.144,4.5,Bangladesh,South Asia,2017
0.918,1.314,0.672,0.585,0.307,0.05,4.471,Sri Lanka,South Asia,2017
1.01,0.971,0.536,0.304,0.148,0.095,4.456,Iraq,Middle East and North Africa,2017
0.37,1.233,0.152,0.367,0.139,0.056,4.447,Mali,Sub-Saharan Africa,2017
0.874,1.281,0.365,0.519,0.051,0.064,4.441,Namibia,Sub-Saharan Africa,2017
0.549,1.088,0.457,0.696,0.256,0.065,4.433,Cambodia,Southeast Asia,2017
0.314,1.097,0.254,0.312,0.175,0.128,4.424,Burkina Faso,Sub-Saharan Africa,2017
0.885,1.025,0.553,0.312,0.092,0.107,4.419,Egypt,Middle East and North Africa,2017
0.198,0.902,0.173,0.531,0.206,0.158,4.417,Mozambique,Sub-Saharan Africa,2017
0.493,1.048,0.454,0.504,0.352,0.055,4.41,Kenya,Sub-Saharan Africa,2017
0.562,1.047,0.295,0.503,0.221,0.082,4.377,Zambia,Sub-Saharan Africa,2017
0.557,1.245,0.292,0.129,0.134,0.093,4.356,Mauritania,Sub-Saharan Africa,2017
0.308,0.95,0.391,0.452,0.22,0.146,4.35,Ethiopia,Sub-Saharan Africa,2017
0.853,0.592,0.643,0.375,0.038,0.215,4.34,Georgia,Commonwealth of Independent States,2017
0.816,0.99,0.666,0.26,0.077,0.028,4.321,Armenia,Commonwealth of Independent States,2017
0.682,1.174,0.429,0.58,0.598,0.178,4.308,Myanmar,Southeast Asia,2017
0.358,0.907,0.053,0.189,0.181,0.06,4.301,Chad,Sub-Saharan Africa,2017
0.721,0.747,0.485,0.539,0.172,0.093,4.19,India,South Asia,2017
0.131,0.867,0.221,0.39,0.175,0.099,4.166,Niger,Sub-Saharan Africa,2017
0.322,1.09,0.237,0.45,0.259,0.061,4.161,Uganda,Sub-Saharan Africa,2017
0.378,0.372,0.24,0.44,0.163,0.067,4.141,Benin,Sub-Saharan Africa,2017
0.793,1.413,0.609,0.163,0.187,0.011,4.103,Ukraine,Commonwealth of Independent States,2017
0.259,0.474,0.253,0.434,0.158,0.101,3.999,Togo,Sub-Saharan Africa,2017
0.344,0.792,0.211,0.394,0.185,0.094,3.964,Guinea,Sub-Saharan Africa,2017
0.472,1.215,0.079,0.423,0.116,0.112,3.808,Lesotho,Sub-Saharan Africa,2017
0.262,0.908,0.402,0.221,0.155,0.049,3.774,Madagascar,Sub-Saharan Africa,2017
0.357,1.094,0.248,0.406,0.132,0.099,3.692,Zimbabwe,Sub-Saharan Africa,2017
0.332,0.537,0.255,0.085,0.191,0.036,3.632,Afghanistan,South Asia,2017
1.017,1.174,0.417,0.557,0.042,0.092,3.59,Botswana,Sub-Saharan Africa,2017
0.186,0.541,0.306,0.531,0.21,0.08,3.587,Malawi,Sub-Saharan Africa,2017
0.315,0.714,0.289,0.025,0.392,0.104,3.582,Haiti,Latin America and Caribbean,2017
0.076,0.858,0.267,0.419,0.206,0.03,3.495,Liberia,Sub-Saharan Africa,2017
0.332,0.896,0.4,0.636,0.2,0.444,3.408,Rwanda,Sub-Saharan Africa,2017
0.442,1.073,0.343,0.244,0.083,0.064,3.355,Yemen,Middle East and North Africa,2017
0.455,0.991,0.381,0.481,0.27,0.097,3.303,Tanzania,Sub-Saharan Africa,2017
0.091,0.627,0.145,0.065,0.149,0.076,2.905,Burundi,Sub-Saharan Africa,2017
1.34,1.587,0.986,0.596,0.153,0.393,7.769,Finland,Western Europe,2018
1.383,1.573,0.996,0.592,0.252,0.41,7.6,Denmark,Western Europe,2018
1.488,1.582,1.028,0.603,0.271,0.341,7.554,Norway,Western Europe,2018
1.38,1.624,1.026,0.591,0.354,0.118,7.494,Iceland,Western Europe,2018
1.396,1.522,0.999,0.557,0.322,0.298,7.488,Netherlands,Western Europe,2018
1.452,1.526,1.052,0.572,0.263,0.343,7.48,Switzerland,Western Europe,2018
1.387,1.487,1.009,0.574,0.267,0.373,7.343,Sweden,Western Europe,2018
1.303,1.557,1.026,0.585,0.33,0.38,7.307,New Zealand,North America and ANZ,2018
1.365,1.505,1.039,0.584,0.285,0.308,7.278,Canada,North America and ANZ,2018
1.376,1.475,1.016,0.532,0.244,0.226,7.246,Austria,Western Europe,2018
1.372,1.548,1.036,0.557,0.332,0.29,7.228,Australia,North America and ANZ,2018
1.034,1.441,0.963,0.558,0.144,0.093,7.167,Costa Rica,Latin America and Caribbean,2018
1.276,1.455,1.029,0.371,0.261,0.082,7.139,Israel,Middle East and North Africa,2018
1.609,1.479,1.012,0.526,0.194,0.316,7.09,Luxembourg,Western Europe,2018
1.333,1.538,0.996,0.45,0.348,0.278,7.054,United Kingdom,Western Europe,2018
1.499,1.553,0.999,0.516,0.298,0.31,7.021,Ireland,Western Europe,2018
1.373,1.454,0.987,0.495,0.261,0.265,6.985,Germany,Western Europe,2018
1.356,1.504,0.986,0.473,0.16,0.21,6.923,Belgium,Western Europe,2018
1.433,1.457,0.874,0.454,0.28,0.128,6.892,United States,North America and ANZ,2018
1.269,1.487,0.92,0.457,0.046,0.036,6.852,Czech Republic,Central and Eastern Europe,2018
1.503,1.31,0.825,0.598,0.262,0.182,6.825,United Arab Emirates,Middle East and North Africa,2018
1.3,1.52,0.999,0.564,0.375,0.151,6.726,Malta,Western Europe,2018
1.07,1.323,0.861,0.433,0.074,0.073,6.595,Mexico,Latin America and Caribbean,2018
1.324,1.472,1.045,0.436,0.111,0.183,6.592,France,Western Europe,2018
1.368,1.43,0.914,0.351,0.242,0.097,6.446,Taiwan,East Asia,2018
1.159,1.369,0.92,0.357,0.187,0.056,6.444,Chile,Latin America and Caribbean,2018
0.8,1.269,0.746,0.535,0.175,0.078,6.436,Guatemala,Latin America and Caribbean,2018
1.403,1.357,0.795,0.439,0.08,0.132,6.375,Saudi Arabia,Middle East and North Africa,2018
1.286,1.484,1.062,0.362,0.153,0.079,6.354,Spain,Western Europe,2018
1.149,1.442,0.91,0.516,0.109,0.054,6.321,Panama,Latin America and Caribbean,2018
1.004,1.439,0.802,0.39,0.099,0.086,6.3,Brazil,Latin America and Caribbean,2018
1.124,1.465,0.891,0.523,0.127,0.15,6.293,Uruguay,Latin America and Caribbean,2018
1.572,1.463,1.141,0.556,0.271,0.453,6.262,Singapore,Southeast Asia,2018
0.794,1.242,0.789,0.43,0.093,0.074,6.253,El Salvador,Latin America and Caribbean,2018
1.294,1.488,1.039,0.231,0.158,0.03,6.223,Italy,Western Europe,2018
1.362,1.368,0.871,0.536,0.255,0.11,6.199,Bahrain,Middle East and North Africa,2018
1.246,1.504,0.881,0.334,0.121,0.014,6.198,Slovakia,Central and Eastern Europe,2018
1.206,1.438,0.884,0.483,0.117,0.05,6.182,Poland,Central and Eastern Europe,2018
0.745,1.529,0.756,0.631,0.322,0.24,6.174,Uzbekistan,Commonwealth of Independent States,2018
1.238,1.515,0.818,0.291,0.043,0.042,6.149,Lithuania,Central and Eastern Europe,2018
0.985,1.41,0.841,0.47,0.099,0.034,6.125,Colombia,Latin America and Caribbean,2018
1.258,1.523,0.953,0.564,0.144,0.057,6.118,Slovenia,Central and Eastern Europe,2018
0.694,1.325,0.835,0.435,0.2,0.127,6.105,Nicaragua,Latin America and Caribbean,2018
0.882,1.232,0.758,0.489,0.262,0.006,6.1,Kosovo,Central and Eastern Europe,2018
1.092,1.432,0.881,0.471,0.066,0.05,6.086,Argentina,Latin America and Caribbean,2018
1.162,1.232,0.825,0.462,0.083,0.005,6.07,Romania,Central and Eastern Europe,2018
1.263,1.223,1.042,0.406,0.19,0.041,6.046,Cyprus,Western Europe,2018
0.912,1.312,0.868,0.498,0.126,0.087,6.028,Ecuador,Latin America and Caribbean,2018
1.5,1.319,0.808,0.493,0.142,0.097,6.021,Kuwait,Middle East and North Africa,2018
1.05,1.409,0.828,0.557,0.359,0.028,6.008,Thailand,Southeast Asia,2018
1.187,1.465,0.812,0.264,0.075,0.064,5.94,Latvia,Central and Eastern Europe,2018
1.301,1.219,1.036,0.159,0.175,0.056,5.895,South Korea,East Asia,2018
1.237,1.528,0.874,0.495,0.103,0.161,5.893,Estonia,Central and Eastern Europe,2018
0.831,1.478,0.831,0.49,0.107,0.028,5.89,Jamaica,Latin America and Caribbean,2018
1.12,1.402,0.798,0.498,0.215,0.06,5.888,Mauritius,Sub-Saharan Africa,2018
1.327,1.419,1.088,0.445,0.069,0.14,5.886,Japan,East Asia,2018
0.642,1.236,0.828,0.507,0.246,0.078,5.86,Honduras,Latin America and Caribbean,2018
1.173,1.508,0.729,0.41,0.146,0.096,5.809,Kazakhstan,Commonwealth of Independent States,2018
0.776,1.209,0.706,0.511,0.137,0.064,5.779,Bolivia,Latin America and Caribbean,2018
1.201,1.41,0.828,0.199,0.081,0.02,5.758,Hungary,Central and Eastern Europe,2018
0.855,1.475,0.777,0.514,0.184,0.08,5.743,Paraguay,Latin America and Caribbean,2018
0.96,1.274,0.854,0.455,0.083,0.027,5.697,Peru,Latin America and Caribbean,2018
1.221,1.431,0.999,0.508,0.047,0.025,5.693,Portugal,Western Europe,2018
0.677,0.886,0.535,0.313,0.22,0.098,5.653,Pakistan,South Asia,2018
1.183,1.452,0.726,0.334,0.082,0.031,5.648,Russia,Commonwealth of Independent States,2018
0.807,1.293,0.657,0.558,0.117,0.107,5.631,Philippines,Southeast Asia,2018
1.004,1.383,0.854,0.282,0.137,0.039,5.603,Serbia,Central and Eastern Europe,2018
0.685,1.328,0.739,0.245,0.181,,5.529,Moldova,Commonwealth of Independent States,2018
1.044,1.303,0.673,0.416,0.133,0.152,5.525,Libya,Middle East and North Africa,2018
1.051,1.361,0.871,0.197,0.142,0.08,5.523,Montenegro,Central and Eastern Europe,2018
0.493,1.098,0.718,0.389,0.23,0.144,5.467,Tajikistan,Commonwealth of Independent States,2018
1.155,1.266,0.914,0.296,0.119,0.022,5.432,Croatia,Central and Eastern Europe,2018
1.015,1.401,0.779,0.497,0.113,0.101,5.425,Dominican Republic,Latin America and Caribbean,2018
0.945,1.212,0.845,0.212,0.263,0.006,5.386,Bosnia and Herzegovina,Central and Eastern Europe,2018
1.183,1.36,0.808,0.195,0.083,0.106,5.373,Turkey,Middle East and North Africa,2018
1.221,1.171,0.828,0.508,0.26,0.024,5.339,Malaysia,Southeast Asia,2018
1.067,1.465,0.789,0.235,0.094,0.142,5.323,Belarus,Commonwealth of Independent States,2018
1.181,1.156,0.999,0.067,,0.034,5.287,Greece,Western Europe,2018
0.948,1.531,0.667,0.317,0.235,0.038,5.285,Mongolia,East Asia,2018
0.983,1.294,0.838,0.345,0.185,0.034,5.274,North Macedonia,Central and Eastern Europe,2018
0.696,1.111,0.245,0.426,0.215,0.041,5.265,Nigeria,Sub-Saharan Africa,2018
0.551,1.438,0.723,0.508,0.3,0.023,5.261,Kyrgyzstan,Commonwealth of Independent States,2018
1.052,1.538,0.657,0.394,0.244,0.028,5.247,Turkmenistan,Commonwealth of Independent States,2018
1.002,1.16,0.785,0.086,0.073,0.114,5.211,Algeria,Middle East and North Africa,2018
0.801,0.782,0.782,0.418,0.036,0.076,5.208,Morocco,Middle East and North Africa,2018
1.043,1.147,0.769,0.351,0.035,0.182,5.208,Azerbaijan,Commonwealth of Independent States,2018
0.987,1.224,0.815,0.216,0.166,0.027,5.197,Lebanon,Middle East and North Africa,2018
0.931,1.203,0.66,0.491,0.498,0.028,5.192,Indonesia,Southeast Asia,2018
1.029,1.125,0.893,0.521,0.058,0.1,5.191,China,East Asia,2018
0.741,1.346,0.851,0.543,0.147,0.073,5.175,Vietnam,Southeast Asia,2018
0.549,0.91,0.331,0.381,0.187,0.037,5.044,Cameroon,Sub-Saharan Africa,2018
1.092,1.513,0.815,0.311,0.081,0.004,5.011,Bulgaria,Central and Eastern Europe,2018
0.611,0.868,0.486,0.381,0.245,0.04,4.996,Ghana,Sub-Saharan Africa,2018
0.569,0.808,0.232,0.352,0.154,0.09,4.944,Ivory Coast,Sub-Saharan Africa,2018
0.446,1.226,0.677,0.439,0.285,0.089,4.913,Nepal,South Asia,2018
0.837,1.225,0.815,0.383,0.11,0.13,4.906,Jordan,Middle East and North Africa,2018
0.393,0.437,0.397,0.349,0.175,0.082,4.883,Benin,Sub-Saharan Africa,2018
0.673,0.799,0.508,0.372,0.105,0.093,4.812,Congo (Brazzaville),Sub-Saharan Africa,2018
1.057,1.183,0.571,0.295,0.043,0.055,4.799,Gabon,Sub-Saharan Africa,2018
0.764,1.03,0.551,0.547,0.266,0.164,4.796,Laos,Southeast Asia,2018
0.96,1.351,0.469,0.389,0.13,0.055,4.722,South Africa,Sub-Saharan Africa,2018
0.947,0.848,0.874,0.383,0.178,0.027,4.719,Albania,Central and Eastern Europe,2018
0.96,1.427,0.805,0.154,0.064,0.047,4.707,Venezuela,Latin America and Caribbean,2018
0.574,1.122,0.637,0.609,0.232,0.062,4.7,Cambodia,Southeast Asia,2018
0.657,1.247,0.672,0.225,0.103,0.066,4.696,Palestinian Territories,Middle East and North Africa,2018
0.45,1.134,0.571,0.292,0.153,0.072,4.681,Senegal,Sub-Saharan Africa,2018
0.879,1.313,0.477,0.401,0.07,0.056,4.639,Namibia,Sub-Saharan Africa,2018
0.138,0.774,0.366,0.318,0.188,0.102,4.628,Niger,Sub-Saharan Africa,2018
0.331,1.056,0.38,0.255,0.177,0.113,4.587,Burkina Faso,Sub-Saharan Africa,2018
0.85,1.055,0.815,0.283,0.095,0.064,4.559,Armenia,Commonwealth of Independent States,2018
1.1,0.842,0.785,0.305,0.27,0.125,4.548,Iran,Middle East and North Africa,2018
0.38,0.829,0.375,0.332,0.207,0.086,4.534,Guinea,Sub-Saharan Africa,2018
0.886,0.666,0.752,0.346,0.043,0.164,4.519,Georgia,Commonwealth of Independent States,2018
